cpmPriceInEuro;semanticSegmentProviderId;semanticSegmentTypeId;semanticSegmentName;description;parentId;parentIds;isRoot;hasChildren;semanticSegmentId;semanticSegmentProviderName;semanticSegmentTypeName;semanticSegmentNameClean;levels
0.25;25;61;1. Display Attention - Low AU;Target display inventory with a low likelihood of attention (Low Adelaide AU Score);30865.0;[30865];False;False;30866;adelaide;attention measurement;1. display attention - low au;['1', 'display attention - low au']
0.5;25;61;1. OLV Attention - Low AU;Target online video inventory with a low likelihood of attention (Low Adelaide AU Score);30869.0;[30869];False;False;30870;adelaide;attention measurement;1. olv attention - low au;['1', 'olv attention - low au']
0.25;25;61;2. Display Attention - Medium AU;Target display inventory with an average likelihood of attention (average or medium Adelaide AU Score);30865.0;[30865];False;False;30867;adelaide;attention measurement;2. display attention - medium au;['2', 'display attention - medium au']
0.5;25;61;2. OLV Attention - Medium AU;Target online video inventory with an average likelihood of attention (average or medium Adelaide AU Score);30869.0;[30869];False;False;30871;adelaide;attention measurement;2. olv attention - medium au;['2', 'olv attention - medium au']
0.25;25;61;3. Display Attention - High AU;Target display inventory with a high likelihood of attention (High Adelaide AU Score);30865.0;[30865];False;False;30868;adelaide;attention measurement;3. display attention - high au;['3', 'display attention - high au']
0.5;25;61;3. OLV Attention - High AU;Target online video inventory with a high likelihood of attention (High Adelaide AU Score);30869.0;[30869];False;False;30872;adelaide;attention measurement;3. olv attention - high au;['3', 'olv attention - high au']
0.05;20;41;Adloox : Adloox - 366 brandsafety;;;;True;False;23098;peer39;adloox;366 brandsafety;['366 brandsafety']
0.05;20;41;Adloox : Adloox - Dell Hybrid Brandsafety;;;;True;False;23099;peer39;adloox;dell hybrid brandsafety;['dell hybrid brandsafety']
0.05;20;41;Adloox : Adloox - IVT - Bad Autorefresh - exclusion;;;;True;False;23100;peer39;adloox;ivt - bad autorefresh - exclusion;['ivt', 'bad autorefresh', 'exclusion']
0.05;20;41;Adloox : Adloox - IVT - Early Autorefresh - exclusion;;;;True;False;23101;peer39;adloox;ivt - early autorefresh - exclusion;['ivt', 'early autorefresh', 'exclusion']
0.05;20;41;Adloox : Adloox - IVT - Fake domain - exclusion;;;;True;False;23102;peer39;adloox;ivt - fake domain - exclusion;['ivt', 'fake domain', 'exclusion']
0.05;20;41;Adloox : Adloox - IVT - Ghost Ad Call - exclusion;;;;True;False;23103;peer39;adloox;ivt - ghost ad call - exclusion;['ivt', 'ghost ad call', 'exclusion']
